title,first,last,gender,date,nation,convo,total,proportion,authorAvg,percent
The Iliad, ,Homer,Male,-700,Greek,79896,151579,0.53,0.51,53
The Odyessy, ,Homer,Male,-700,Greek,57842,117616,0.49,0.51,49
Aesop's Fables, ,Aesop,Male,-585,Greek,9826,38037,0.26,0,26
The Aeneid, ,Virgil,Male,-20,Greek,55380,106460,0.52,0,52
Metamorphoses, ,Ovid,Male,6,Greek,19729,65175,0.30,0,30
Thousand and One Nights (Arabian Nights), ,Unknown,Unknown,900,Arabic,78484,144620,0.54,0,54
Njal's Saga, ,Unknown,Unknown,1200,Scandinavian,64185,126191,0.51,0,51
The Divine Comedy,Dante,Alighieri,Male,1320,Italian,19428,36498,0.53,0,53
The Cantebury Tales,Geoffrey,Chaucer,Male,1475,UK,56776,159849,0.36,0,36
Utopia,Sir Thomas,More,Male,1516,UK,38124,42158,0.90,0,90
The Lusiads,Luis Vaz De,Camoens,Male,1572,Portuguese,56202,135351,0.42,0,42
Don Quixote,Miguel de,Cervantes,Male,1615,Spanish,194616,401006,0.49,0,49
Robinson Crusoe,Daniel,Defoe,Male,1719,UK,3964,120784,0.03,0,3
Gulliver's Travels,Johnathan,Swift,Male,1726,UK,23504,103655,0.23,0,23
Manon Lescaut,Abbé,Prévost,Male,1731,French,30759,65198,0.47,0,47
Candide, ,Voltaire,Male,1759,French,14980,32557,0.46,0,46
The Sorrows of Young Werther,Johann Wolfgang von,Goethe,Male,1774,German,11933,42387,0.28,0,28
Sense and Sensibility,Jane,Austen,Female,1811,UK,53619,118565,0.45,0.43,45
Grimm's Fairy Tales (Children's and Household Tales),Jacob and Wilhelm,Grimm,Male,1812,German,36649,87762,0.42,0,42
Swiss Family Robinson,Johann David,Wyss,Male,1812,German,36638,118184,0.31,0,31
Pride and Predjudice,Jane,Austen,Female,1813,UK,61756,121569,0.51,0.43,51
Frankenstein,Mary,Shelley,Female,1818,UK,30332,74941,0.40,0,40
Father Goriot,Honoré,de Balzac,Male,1819,French,52178,102970,0.51,0,51
Ivanhoe,Sir Walter,Scott,Male,1820,UK,79380,175139,0.45,0,45
The Red and the Black, ,Stendhal,Male,1830,French,115654,189912,0.61,0,61
The Hunchback of Notre Dame,Victor,Hugo,Male,1831,French,114757,182438,0.63,0.52,63
Fairy Tales,Hans Christian,Andersen,Male,1838,Scandinavian,22301,55360,0.40,0,40
The Three Musketeers,Alexandre,Dumas,Male,1844,French,122959,228111,0.54,0.52,54
The Count of Monte Cristo,Alexandre ,Dumas,Male,1845,French,225587,459137,0.49,0.52,49
Agnes Grey,Anne,Bronte,Female,1847,UK,1821,67690,0.03,0,3
Jane Eyre,Charlotte,Brontë,Female,1847,UK,80656,184503,0.44,0,44
Vanity Fair,William Makepeace,Thackeray,Male,1848,UK,57040,301304,0.19,0,19
The Scarlet Letter,Nathaniel,Hawthorne,Male,1850,American,15607,82910,0.19,0.20,19
The House of Seven Gables,Nathanial,Hawthorne,Male,1851,American,21653,102225,0.21,0.20,21
Moby-Dick or the Whale,Herman,Melville,Male,1851,American,43882,208414,0.21,0,21
Uncle Tom's Cabin,Harriet Beecher,Stowe,Female,1852,American,82667,180036,0.46,0,46
Madam Bovary,Gustave,Flaubert,Male,1857,French,22048,115537,0.19,0,19
A Tale of Two Citites,Charles,Dickens,Male,1859,UK,57714,135617,0.43,0.46,43
Great Expectations,Charles,Dickens,Male,1861,UK,92988,184386,0.50,0.46,50
Les Miserables,Victor,Hugo,Male,1862,French,116941,559469,0.21,0.52,21
Journey to the Center of the Earth,Jules,Verne,Male,1864,French,38517,85469,0.45,0.50,45
Crime and Punishment,Fyodor,Dostoyevsky,Male,1866,Russian,112326,202691,0.55,0.54,55
Wives and Daughters,Elizabeth,Gaskell,Female,1866,UK,133853,267522,0.50,0,50
The Moonstone,Wilkie,Collins,Male,1868,UK,108852,194833,0.56,0,56
Little Women,Louisa May,Alcott,Female,1869,American,67553,185893,0.36,0,36
The Idiot,Fyodor,Dostoyevsky,Male,1869,Russian,124192,241540,0.51,0.54,51
War and Peace,Leo,Tolstoy,Male,1869,Russian,122478,562483,0.22,0.30,22
Twenty Thousand Leagues Under the Sea,Jules,Verne,Male,1870,French,39365,103006,0.38,0.50,38
Demons (The Posessed or Devils),Fyodor,Dostoyevsky,Male,1872,Russian,117574,253410,0.46,0.54,46
